region,percentile,f_ghz,gamma_dB_per_km
costa,1,6.0,0.0132473057915209
costa,1,6.0,0.0137342882579486
costa,1,6.0,0.0127281041989785
costa,1,6.0,0.0131556060824013
costa,1,6.0,0.0132451436597699
costa,1,6.0,0.0137321261261977
costa,1,6.0,0.0127259045835771
costa,1,6.0,0.0131534064669999
costa,1,7.0,0.0179774286359024
costa,1,7.0,0.0186393499561531
costa,1,7.0,0.0172712417663466
costa,1,7.0,0.0178523227989469
costa,1,7.0,0.0179744977461955
costa,1,7.0,0.0186364190664462
costa,1,7.0,0.0172682600654692
costa,1,7.0,0.0178493410980695
costa,1,11.0,0.0439527336139463
costa,1,11.0,0.045600398967327
costa,1,11.0,0.0421806862261721
costa,1,11.0,0.0436270233445905
costa,1,11.0,0.0439456561047216
costa,1,11.0,0.0455933214581023
costa,1,11.0,0.0421734860181891
costa,1,11.0,0.0436198231366075
costa,1,15.0,0.0816350265742099
costa,1,15.0,0.0848270133096508
costa,1,15.0,0.0781374823723163
costa,1,15.0,0.0809384856940138
costa,1,15.0,0.0816222731490498
costa,1,15.0,0.0848142598844906
costa,1,15.0,0.0781245078482664
costa,1,15.0,0.0809255111699639
costa,1,18.0,0.1217919459511577
costa,1,18.0,0.1269548044317382
costa,1,18.0,0.1159409722484853
costa,1,18.0,0.1204677601521829
costa,1,18.0,0.1217741064895314
costa,1,18.0,0.1269369649701119
costa,1,18.0,0.1159228235142432
costa,1,18.0,0.1204496114179407
costa,1,23.0,0.3043608132202591
costa,1,23.0,0.3227314688595248
costa,1,23.0,0.2809338393181662
costa,1,23.0,0.2970551051552824
costa,1,23.0,0.3043333156370199
costa,1,23.0,0.3227039712762857
costa,1,23.0,0.2809058650249413
costa,1,23.0,0.2970271308620575
costa,1,32.0,0.3199521718795818
costa,1,32.0,0.3334641205701742
costa,1,32.0,0.3047303781933453
costa,1,32.0,0.3165946976792969
costa,1,32.0,0.3199052776442715
costa,1,32.0,0.333417226334864
costa,1,32.0,0.3046826709793071
costa,1,32.0,0.3165469904652586
costa,1,38.0,0.4254224943436206
costa,1,38.0,0.4441363258438496
costa,1,38.0,0.4040435010768698
costa,1,38.0,0.4204781130440015
costa,1,38.0,0.4253624303025968
costa,1,38.0,0.4440762618028258
costa,1,38.0,0.403982395739675
costa,1,38.0,0.4204170077068067
costa,5,6.0,0.0133782827309482
costa,5,6.0,0.0138305084779104
costa,5,6.0,0.0128214198367383
costa,5,6.0,0.0132163312719342
costa,5,6.0,0.0133761243623351
costa,5,6.0,0.0138283501092973
costa,5,6.0,0.0128192224932349
costa,5,6.0,0.0132141339284309
costa,5,7.0,0.0181555054788806
costa,5,7.0,0.0187701832010245
costa,5,7.0,0.0173981120819076
costa,5,7.0,0.0179348939396655
costa,5,7.0,0.0181525796903162
costa,5,7.0,0.0187672574124601
costa,5,7.0,0.0173951334607141
costa,5,7.0,0.017931915318472
costa,5,11.0,0.0443975212354069
costa,5,11.0,0.0459276027696636
costa,5,11.0,0.0424974114868263
costa,5,11.0,0.0438334947186363
costa,5,11.0,0.0443904560444154
costa,5,11.0,0.0459205375786721
costa,5,11.0,0.0424902187156607
costa,5,11.0,0.0438263019474707
costa,5,15.0,0.0825036699532407
costa,5,15.0,0.0854680149563408
costa,5,15.0,0.0787551338978014
costa,5,15.0,0.0813427017315237
costa,5,15.0,0.0824909387251077
costa,5,15.0,0.0854552837282078
costa,5,15.0,0.0787421727746375
costa,5,15.0,0.0813297406083598
costa,5,18.0,0.123217972085433
costa,5,18.0,0.1280132010130945
costa,5,18.0,0.1169520173572571
costa,5,18.0,0.1211341827007916
costa,5,18.0,0.123200163672957
costa,5,18.0,0.1279953926006185
costa,5,18.0,0.1169338873681434
costa,5,18.0,0.1211160527116779
costa,5,23.0,0.3097143065749322
costa,5,23.0,0.3267720421953403
costa,5,23.0,0.2847065624831426
costa,5,23.0,0.2995977024325088
costa,5,23.0,0.3096868568505699
costa,5,23.0,0.326744592470978
costa,5,23.0,0.2846786170834876
costa,5,23.0,0.2995697570328537
costa,5,32.0,0.3236722900105362
costa,5,32.0,0.3362194303474919
costa,5,32.0,0.307374105894591
costa,5,32.0,0.3183337082797376
costa,5,32.0,0.3236254773935053
costa,5,32.0,0.336172617730461
costa,5,32.0,0.3073264479554962
costa,5,32.0,0.3182860503406428
costa,5,38.0,0.4306058776050609
costa,5,38.0,0.4479830313358027
costa,5,38.0,0.4077252618410217
costa,5,38.0,0.4229064056226378
costa,5,38.0,0.4305459181040439
costa,5,38.0,0.4479230718347857
costa,5,38.0,0.4076642196171758
costa,5,38.0,0.4228453633987918
costa,10,6.0,0.0135460981630292
costa,10,6.0,0.0139533512231785
costa,10,6.0,0.0129400218700634
costa,10,6.0,0.0132933420717919
costa,10,6.0,0.0135439444844609
costa,10,6.0,0.0139511975446102
costa,10,6.0,0.0129378273613445
costa,10,6.0,0.0132911475630729
costa,10,7.0,0.0183836655834783
costa,10,7.0,0.018937213800566
costa,10,7.0,0.0175593602511822
costa,10,7.0,0.018039608618146
costa,10,7.0,0.0183807461525302
costa,10,7.0,0.0189342943696179
costa,10,7.0,0.0175563854726965
costa,10,7.0,0.0180366338396604
costa,10,11.0,0.044967360800205
costa,10,11.0,0.0463452941802361
costa,10,11.0,0.0428999421954944
costa,10,11.0,0.0440953199937543
costa,10,11.0,0.0449603109615784
costa,10,11.0,0.0463382443416095
costa,10,11.0,0.0428927587036952
costa,10,11.0,0.0440881365019551
costa,10,15.0,0.0836163911352734
costa,10,15.0,0.08628614028108
costa,10,15.0,0.0795400626413893
costa,10,15.0,0.081855224080671
costa,10,15.0,0.0836036875715673
costa,10,15.0,0.086273436717374
costa,10,15.0,0.0795271182393205
costa,10,15.0,0.0818422796786022
costa,10,18.0,0.125044356128575
costa,10,18.0,0.1293636850968669
costa,10,18.0,0.1182367608113061
costa,10,18.0,0.1219790065956595
costa,10,18.0,0.1250265864130354
costa,10,18.0,0.1293459153813273
costa,10,18.0,0.1182186542116215
costa,10,18.0,0.1219608999959749
costa,10,23.0,0.3165598260379283
costa,10,23.0,0.3319190525020994
costa,10,23.0,0.2894958880848033
costa,10,23.0,0.3028174026179585
costa,10,23.0,0.3165324359606704
costa,10,23.0,0.3318916624248414
costa,10,23.0,0.2894679787374007
costa,10,23.0,0.3027894932705559
costa,10,32.0,0.3284354219444093
costa,10,32.0,0.3397342792269915
costa,10,32.0,0.3107328343087275
costa,10,32.0,0.3205379174188481
costa,10,32.0,0.3283887110492398
costa,10,32.0,0.339687568331822
costa,10,32.0,0.3106852378529564
costa,10,32.0,0.3204903209630769
costa,10,38.0,0.4372411801922347
costa,10,38.0,0.4528890289868383
costa,10,38.0,0.4124021833741805
costa,10,38.0,0.4259838235071024
costa,10,38.0,0.4371813509807088
costa,10,38.0,0.4528291997753125
costa,10,38.0,0.4123412199006725
costa,10,38.0,0.4259228600335943
costa,50,6.0,0.0142713743795422
costa,50,6.0,0.0146497523391197
costa,50,6.0,0.0135742781101714
costa,50,6.0,0.0139033254726028
costa,50,6.0,0.0142693075092676
costa,50,6.0,0.0146476854688451
costa,50,6.0,0.0135721725637151
costa,50,6.0,0.0139012199261464
costa,50,7.0,0.0193696176366134
costa,50,7.0,0.0198839128654614
costa,50,7.0,0.0184216219079601
costa,50,7.0,0.0188688734550764
costa,50,7.0,0.0193668158791301
costa,50,7.0,0.0198811111079782
costa,50,7.0,0.0184187677227638
costa,50,7.0,0.0188660192698801
costa,50,11.0,0.0474263564746984
costa,50,11.0,0.0487066455380494
costa,50,11.0,0.0450511021285211
costa,50,11.0,0.0461644009564763
costa,50,11.0,0.0474195907938245
costa,50,11.0,0.0486998798571755
costa,50,11.0,0.0450442098452637
costa,50,11.0,0.0461575086732188
costa,50,15.0,0.088402852518227
costa,50,15.0,0.0908840592644062
costa,50,15.0,0.0837292562713162
costa,50,15.0,0.0858859572044322
costa,50,15.0,0.0883906609968961
costa,50,15.0,0.0908718677430753
costa,50,15.0,0.0837168366168988
costa,50,15.0,0.0858735375500148
costa,50,18.0,0.1328562569947076
costa,50,18.0,0.1368729251754254
costa,50,18.0,0.125077948677806
costa,50,18.0,0.1285659457369125
costa,50,18.0,0.1328392035228583
costa,50,18.0,0.1368558717035762
costa,50,18.0,0.1250605760939229
costa,50,18.0,0.1285485731530294
costa,50,23.0,0.3451917867458525
costa,50,23.0,0.3594455901264937
costa,50,23.0,0.3147407717308339
costa,50,23.0,0.3271365380099554
costa,50,23.0,0.3451655006800781
costa,50,23.0,0.3594193040607193
costa,50,23.0,0.3147139937886846
costa,50,23.0,0.3271097600678061
costa,50,32.0,0.348813696757935
costa,50,32.0,0.3593095456535754
costa,50,32.0,0.328608314267978
costa,50,32.0,0.3377383105335376
costa,50,32.0,0.3487688686382022
costa,50,32.0,0.3592647175338427
costa,50,32.0,0.328562647304836
costa,50,32.0,0.3376926435703956
costa,50,38.0,0.4655537013927697
costa,50,38.0,0.4800875958281542
costa,50,38.0,0.437260598911018
costa,50,38.0,0.4499056709389764
costa,50,38.0,0.4654962837164854
costa,50,38.0,0.4800301781518699
costa,50,38.0,0.4372021068100284
costa,50,38.0,0.4498471788379869
costa,90,6.0,0.0145557793867548
costa,90,6.0,0.0149420089709605
costa,90,6.0,0.0138315835019233
costa,90,6.0,0.0141681987861012
costa,90,6.0,0.0145525997782669
costa,90,6.0,0.0149388293624725
costa,90,6.0,0.0138283452766891
costa,90,6.0,0.014164960560867
costa,90,7.0,0.019756200810282
costa,90,7.0,0.0202811660869881
costa,90,7.0,0.0187713849783795
